Name,Address
TocoToco - Lê Văn Hiến, "93 Lê Văn Hiến, Bắc Từ Liêm, Hà Nội"
TocoToco - Ngô Xuân Quảng, "158 Ngô Xuân Quảng - Gia Lâm - Hà Nội"
TocoToco - Big C Hồ Gươm, "BigC Hồ Gươm, Hà Đông, Hà Nội"
TocoToco - Linh Đàm, "Toà nhà HH4C, Lô 54-56, Nguyễn Hữu Thọ"
TocoToco - Quang Trung 2, "679 Quang Trung, Phú La, Hà Đông, Hanoi"
TocoToco - 57 Cầu Gỗ, "57 Cầu Gỗ, Hoàn Kiếm, Hà Nội"
TocoToco - Dương Nội, "KĐT mới, Dương Nội, Yên Nghĩa, Hà Đông"
TocoToco - Lý Thường Kiệt, "42F Lý Thường Kiệt, Hoàn Kiếm"
TocoToco - Phạm Ngọc Thạch, "14b4 Phạm Ngọc Thạch,Hà Nội" 
TocoToco - Đội Cấn, "95 Đội Cấn, Ba Đình, Hà Nội"
TocoToco - Nguyễn Đổng Chi, "153 Ng. Đổng Chi, Cầu Diễn,Nam Từ Liêm"
TocoToco - Phú Xuyên, "Phú Mỹ, Phú Xuyên, Hà Nội"
TocoToco - Tây Sơn, "137 Tây Sơn - Đống Đa - Hà Nội"
TocoToco - Nguyễn Văn Tố, "Số 2 Nguyễn Văn Tố, Hoàn Kiếm, Hà Nội"
TocoToco - Trần Quốc Hoàn, "253 Trần Quốc Hoàn,Dịch Vọng, Cầu Giấy"
TocoToco - Lê Đại Hành, "25 Lê Đại Hành, HBT, Hà Nội"
TocoToco - Ngô Gia Tự, "176 Ngô Gia Tự, Đức Giang, Long Biên"
TocoToco - Tân Mai, "12 Tân Mai, Hoàng Mai"
TocoToco - Nguyễn Chí Thanh, "54 Nguyễn Chí Thanh, Ba Đình, Hà Nội"
TocoToco - Hàng Bài, "4B Hàng Bài, Quận Hoàn Kiếm, Hà Nội"
Hefkcha Lí Thường Kiệt, "60 Lý Thường Kiệt, Hà Nội"
Heekcaa Lí Thường Kiệt, "42C Lý Thường Kiệt, Hà Nội",
Heekcaa Lê Đại Hành, "7 Lê Đại Hành, Hà Nội"
Wang tea, "51A Ô Chợ Dừa, Đống Đa, Hà Nội"
Taster's Choice Lương Định Của, "Số 4 - B14 Lương Định Của, Hà Nội"
Taster's Choice Phố Huế, "30 Phố Huế, Hà Nội"
Taster's Choice Chùa Láng, "58 Chùa Láng, Hà Nội"
Taster's Choice Lê Thanh Nghị, "73 Lê Thanh Nghị, Hà Nội"
Taster's Choice Ô Chợ Dừa, "71 Ô Chợ Dừa, Hà Nội"
Taster's Choice Nguyễn Trãi, "212C Nguyễn Trãi, Hà Nội"
Citeafun Lê Đại Hành, "20 Lê Đại Hành, Hai Bà Trưng, Hà Nội"
Citeafun Hoàng Cầu, "34 Hoàng Cầu, Đống Đa, Hà Nội"
Citeafun Tạ Quang Bửu, "17 Tạ Quang Bửu, Hai Bà Trưng, Hà Nội"
Goky Quán Thánh, "124 Quán Thánh, Hà Nội"
Goky Giảng Võ, "183 Giảng Võ, Hà Nội"
Goky Phố Huế, "233 Phố Huế, Hà Nội"
Goky Thái Hà, "25 Thái Hà, Hà Nội"
Goky Bạch Mai, "425 Bạch Mai, Hà Nội"
Goky Hai Bà Trưng, "29 Hai Bà Trưng"
Goky Tô Hiệu, "106A-B9 Tô Hiệu, Cầu Giấy, Hà Nội"
Goky Láng Hạ, "124 Láng Hạ, Láng Hạ, Quận Đống Đa, Hà Nội"
Goky Nguyễn Trãi, "370 Nguyễn Trãi, Hà Nội"
Goky Minh Khai, "318 Minh Khai, Mai Động, Quận Hai Bà Trưng, Hà Nội"
Goky Thượng Đình, "280 Thượng Đình, Thượng Đình, Quận Thanh Xuân, Hà Nội"
Goky Ô Chợ Dừa, "19 Ô Chợ Dừa, Hà Nội"
Goky Hồ Tùng Mậu, "88 Hồ Tùng Mậu, Mai Dịch, Quận Cầu Giấy, Hà Nội"
ChaChaGo Phố Huế, "47 Phố Huế, Hà Nội"
ChaChaGo Ô Chợ Dừa, "113 Ô Chợ Dừa, Hà Nội"
House of Cha Tô Hiệu, "124 Tô Hiệu, Hà Nội"
House of Cha Quán Thánh, "4 Quán Thánh, Hà Nội"
House of Cha Ngụy Như Kom Tum, "102 Ngụy Như Kom Tum, Thanh Xuân, Hà Nội"
House of Cha Kim Mã, "185 Kim Mã, Hà Nội"
LeeTee, "157 Xã Đàn, Hà Nội"
XingCha Tôn Đức Thắng, "215 Tôn Đức Thắng, Đống Đa, Hà Nội"
XingCha Bà Triệu, "193A Bà Triệu, Hà Nội"
XingCha Gia Ngư, "14 Gia Ngư, Hà Nội"
XingCha Trần Đại Nghĩa, "183 Trần Đại Nghĩa, Hà Nội",
XingCha Nguyễn Khánh Toàn, "87 Nguyễn Khánh Toàn, Hà Nội"
XingCha Minh Khai, "635 Minh Khai, Hà Nội"
XingCha Trung Kính, "210 Trung Kính, Hà Nội"
Chat Time, "128 Hàng Trống, Hà Nội"
Feelingtea Quang Trung,	"169 Quang Trung, Hà Đông"
Feelingtea Thahnh Niên, "11 Thanh Niên, Hà Nội"
Feelingtea Trần Thái Tông, "4 Trần Thái Tông, Hà Nội" 
Feelingtea Ngọc Hồi, "137 Ngọc Hồi, Hà Nội"  
Feelingtea Khâm Thiên, "219C Khâm Thiên, Hà Nội"
Feelingtea Hồ Tùng Mậu, "112 Hồ Tùng Mậu, Hà Nội"  
Feelingtea Đội Cấn, "123 Đội Cấn, Hà Nội"
Feelingtea Bạch Mai, "401 Bạch Mai, Hà Nội"
Feelingtea Chùa Láng, "163 Chùa Láng, Hà Nội"
Feelingtea Cầu Gỗ ,"45 Cầu Gỗ, Hà Nội"
Feelingtea Cửa Nam, "59 Cửa Nam, Hà Nội"
Feelingtea Giảng Võ, "155 Giảng Võ, Hà Nội"
Feelingtea Trần Đại Nghĩa, "147 Trần Đại Nghĩa, Hà Nội"
Feelingtea Khương Hạ, "22 Khương Hạ, Hà Nội"	
Feelingtea Ngọc Lâm, "162 Ngọc Lâm, Hà Nội"
Feelingtea Lê Đại Hành, "13 Lê Đại Hành, Hà Nội"    
Feelingtea Kim Ngưu, "491 Kim Ngưu, Hà Nội"
Feelingtea Phùng Hưng, "68 Phùng Hưng, Hà Đông"  	
Feelingtea Xã Đàn, "99 Xã Đàn, Hà Nội"
Feelingtea Yên Lãng, "61 Yên Lãng, Hà Nội"
Feelingtea Nguyễn Văn Cừ, "192 Nguyễn Văn Cừ, Hà Nội"
Feelingtea Indochina, "K1 -2A Tầng 1 TT-TM Indochina Plaza, Hà Nội"
Feelingtea Lò Đúc, "226 Lò Đúc, Hà Nội"
Feelingtea Tân Mai, "128 Tân Mai, Hà Nội"
Trà Tiên Huởng Nguyễn Chí Thanh, "145 Nguyễn Chí Thanh, Hà Nội"
Trà Tiên Hưởng Nguyễn Trãi, "446 Nguyễn Trãi, Hà Nội"
